Agency_Text,Sex_Code_Text,Ethnic_Code_Text,ScaleSet,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,DisplayText,RawScore,DecileScore,ScoreText,AgeGroup
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-3.21,1,Low,3
Probation,Male,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Married,1,Risk of Recidivism,-3.1,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-3.05,1,Low,3
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-3.04,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-3.03,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-3.0,1,Low,2
Probation,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Married,1,Risk of Recidivism,-2.98,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.97,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.97,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Widowed,1,Risk of Recidivism,-2.97,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.96,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Divorced,1,Risk of Recidivism,-2.96,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.95,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Divorced,1,Risk of Recidivism,-2.95,1,Low,3
Probation,Male,African-American,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.95,1,Low,3
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.94,1,Low,3
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.94,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.93,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.92,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.92,1,Low,3
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.91,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.91,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.9,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.9,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.9,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.89,1,Low,3
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.88,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.88,1,Low,3
PRETRIAL,Female,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Separated,1,Risk of Recidivism,-2.87,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.87,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.87,1,Low,3
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.87,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Single,1,Risk of Recidivism,-2.87,1,Low,3
Probation,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Divorced,1,Risk of Recidivism,-2.87,1,Low,3
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.86,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Significant Other,1,Risk of Recidivism,-2.86,1,Low,2
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.85,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.85,1,Low,3
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Separated,1,Risk of Recidivism,-2.84,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.83,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.83,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Divorced,1,Risk of Recidivism,-2.83,1,Low,3
PRETRIAL,Male,Arabic,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Single,1,Risk of Recidivism,-2.83,1,Low,3
Probation,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Married,1,Risk of Recidivism,-2.83,1,Low,2
PRETRIAL,Female,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.82,1,Low,3
Probation,Female,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.82,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.82,1,Low,3
Probation,Male,African-American,Risk and Prescreen,English,Other,Probation,Separated,1,Risk of Recidivism,-2.82,1,Low,3
PRETRIAL,Female,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Significant Other,1,Risk of Recidivism,-2.81,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.81,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.81,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.81,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Divorced,1,Risk of Recidivism,-2.81,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.8,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.8,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Married,1,Risk of Recidivism,-2.8,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.79,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.79,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.79,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Separated,1,Risk of Recidivism,-2.79,1,Low,2
PRETRIAL,Female,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Married,1,Risk of Recidivism,-2.78,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.78,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Unknown,1,Risk of Recidivism,-2.78,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Married,1,Risk of Recidivism,-2.78,1,Low,3
PRETRIAL,Female,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Significant Other,1,Risk of Recidivism,-2.77,1,Low,2
Probation,Female,Hispanic,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.77,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.77,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.77,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.77,1,Low,3
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Widowed,1,Risk of Recidivism,-2.77,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.76,1,Low,2
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.76,1,Low,3
Probation,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Divorced,1,Risk of Recidivism,-2.76,1,Low,3
Probation,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.76,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.75,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.75,1,Low,3
Probation,Male,African-American,Risk and Prescreen,English,Post Sentence,Probation,Divorced,1,Risk of Recidivism,-2.75,1,Low,2
Probation,Male,African-American,Risk and Prescreen,English,Post Sentence,Probation,Divorced,1,Risk of Recidivism,-2.75,1,Low,2
PRETRIAL,Female,African-American,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Single,1,Risk of Recidivism,-2.74,1,Low,2
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Other,Probation,Married,1,Risk of Recidivism,-2.74,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Single,1,Risk of Recidivism,-2.74,1,Low,3
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.74,1,Low,2
PRETRIAL,Male,Hispanic,Risk and Prescreen,English,Pretrial,Jail Inmate,Married,1,Risk of Recidivism,-2.74,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.74,1,Low,2
PRETRIAL,Male,African-American,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.74,1,Low,2
PRETRIAL,Male,Hispanic,Risk and Prescreen,Spanish,Pretrial,Pretrial Defendant,Single,1,Risk of Recidivism,-2.74,1,Low,2
Probation,Female,Caucasian,Risk and Prescreen,English,Post Sentence,Probation,Widowed,1,Risk of Recidivism,-2.73,1,Low,3
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.73,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Divorced,1,Risk of Recidivism,-2.73,1,Low,2
PRETRIAL,Male,Other,Risk and Prescreen,English,Pretrial,Jail Inmate,Significant Other,1,Risk of Recidivism,-2.73,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Jail Inmate,Single,1,Risk of Recidivism,-2.73,1,Low,2
PRETRIAL,Male,Caucasian,Risk and Prescreen,English,Pretrial,Pretrial Defendant,Single,1,Risk of Recidivism,-2.73,1,Low,2
